ln(l),lnP_phi
0,-16.1375
0.0953102,-16.4581
0.19062,-16.7751
0.285931,-17.0992
0.381241,-17.4241
0.476551,-17.75
0.571861,-18.0769
0.667171,-18.4049
0.762481,-18.7342
0.857792,-19.065
0.953102,-19.3926
1.04841,-19.7282
1.14372,-20.0651
1.23903,-20.4056
1.33434,-20.7455
1.42965,-21.0874
1.52496,-21.4292
1.62027,-21.7756
1.71558,-22.1188
1.81089,-22.4715
1.9062,-22.8301
2.00151,-23.1872
2.09682,-23.5472
2.19213,-23.9102
2.28744,-24.2764
2.38275,-24.6426
2.47806,-25.0162
2.57337,-25.3938
2.66869,-25.7754
2.764,-26.1612
2.85931,-26.5512
2.95462,-26.9457
3.04993,-27.3449
3.14524,-27.749
3.24055,-28.1581
3.33586,-28.5725
3.43117,-28.9924
3.52648,-29.4179
3.62179,-29.8489
3.7171,-30.2856
3.81241,-30.7279
3.90772,-31.1756
4.00303,-31.6286
4.09834,-32.0867
4.19365,-32.5496
4.28896,-33.0171
4.38427,-33.489
4.47958,-33.9651
4.57489,-34.4453
4.6702,-34.9295
4.76551,-35.4177
4.86082,-35.9096
4.95613,-36.4052
5.05144,-36.9043
5.14675,-37.4066
5.24206,-37.9118
5.33737,-38.4195
5.43268,-38.9295
5.52799,-39.4413
5.6233,-39.9545
5.71861,-40.4687
5.81392,-40.9835
5.90923,-41.4984
6.00454,-42.0133
6.09985,-42.5275
6.19516,-43.0411
6.29047,-43.5535
6.38578,-44.0648
6.48109,-44.5746
6.5764,-45.083
6.67171,-45.59
6.76702,-46.0956
6.86233,-46.6
6.95764,-47.1036
7.05295,-47.6066
7.14826,-48.1093
7.24357,-48.6123
7.33888,-49.1158
7.43419,-49.6203
7.5295,-50.1261
7.62481,-50.6338
7.72012,-51.1437
7.81543,-51.6561
7.91074,-52.1714
8.00606,-52.6901
8.10137,-53.2123
8.19668,-53.7383
8.29199,-54.2684
8.3873,-54.8027
8.48261,-55.3414
8.57792,-55.8846
8.67323,-56.4323
8.76854,-56.9845
8.86385,-57.5411
8.95916,-58.1021
9.05447,-58.6674
9.14978,-59.2366
9.24509,-59.8097
9.3404,-60.3863
9.43571,-60.9661
9.53102,-61.549
9.62633,-62.1346
9.72164,-62.7225
9.81695,-63.3126
9.91226,-63.9046
10.0076,-64.4982
10.1029,-65.0933
10.1982,-65.6897
10.2935,-66.2873
10.3888,-66.886
10.4841,-67.4857
10.5794,-68.0863
10.6747,-68.6878
10.7701,-69.2903
10.8654,-69.8935
10.9607,-70.4977
11.056,-71.1026
11.1513,-71.7083
11.2466,-72.3148
11.3419,-72.9221
11.4372,-73.5301
