z,ln(k),lnP
2,-6.90776,6.12672
2,-6.80776,6.2195
2,-6.70776,6.31187
2,-6.60776,6.40371
2,-6.50776,6.49492
2,-6.40776,6.58539
2,-6.30776,6.67496
2,-6.20776,6.76349
2,-6.10776,6.85082
2,-6.00776,6.93677
2,-5.90776,7.02115
2,-5.80776,7.10375
2,-5.70776,7.18435
2,-5.60776,7.26274
2,-5.50776,7.33866
2,-5.40776,7.41188
2,-5.30776,7.48215
2,-5.20776,7.5492
2,-5.10776,7.61275
2,-5.00776,7.67254
2,-4.90776,7.72826
2,-4.80776,7.77957
2,-4.70776,7.82611
2,-4.60776,7.86743
2,-4.50776,7.90297
2,-4.40776,7.93203
2,-4.30776,7.95373
2,-4.20776,7.96698
2,-4.10776,7.9705
2,-4.00776,7.96306
2,-3.90776,7.9437
2,-3.80776,7.91216
2,-3.70776,7.86913
2,-3.60776,7.81613
2,-3.50776,7.75503
2,-3.40776,7.68744
2,-3.30776,7.61434
2,-3.20776,7.53602
2,-3.10776,7.45231
2,-3.00776,7.36278
2,-2.90776,7.26698
2,-2.80776,7.16451
2,-2.70776,7.05508
2,-2.60776,6.93857
2,-2.50776,6.81495
2,-2.40776,6.6843
2,-2.30776,6.54681
2,-2.20776,6.40274
2,-2.10776,6.25239
2,-2.00776,6.09613
2,-1.90776,5.93437
2,-1.80776,5.76752
2,-1.70776,5.59604
2,-1.60776,5.42041
2,-1.50776,5.24111
2,-1.40776,5.05867
2,-1.30776,4.87362
2,-1.20776,4.68656
2,-1.10776,4.49811
2,-1.00776,4.30896
2,-0.907755,4.11986
2,-0.807755,3.93165
2,-0.707755,3.74525
2,-0.607755,3.56167
2,-0.507755,3.38199
2,-0.407755,3.20733
2,-0.307755,3.03884
2,-0.207755,2.8776
2,-0.107755,2.72457
2,-0.00775528,2.58047
2,0.0922447,2.44572
2,0.192245,2.32037
2,0.292245,2.20402
2,0.392245,2.09583
2,0.492245,1.99458
2,0.592245,1.89868
2,0.692245,1.80628
2,0.792245,1.71539
2,0.892245,1.62394
2,0.992245,1.52994
2,1.09224,1.43146
2,1.19224,1.32684
2,1.29224,1.21465
2,1.39224,1.09378
2,1.49224,0.963521
2,1.59224,0.823518
2,1.69224,0.673798
2,1.79224,0.514718
2,1.89224,0.346865
2,1.99224,0.170957
2,2.09224,-0.0122726
2,2.19224,-0.202143
2,2.29224,-0.398123
2,2.39224,-0.599732
2,2.49224,-0.806628
2,2.59224,-1.01854
2,2.69224,-1.23523
2,2.79224,-1.45652
2,2.89224,-1.68223
2,2.99224,-1.91225
2,3.09224,-2.14644
2,3.19224,-2.38465
2,3.29224,-2.62677
2,3.39224,-2.8727
2,3.49224,-3.12232
2,3.59224,-3.37554
2,3.69224,-3.63228
2,3.79224,-3.89244
2,3.89224,-4.15597
2,3.99224,-4.42283
2,4.09224,-4.69304
2,4.19224,-4.96656
2,4.29224,-5.24346
2,4.39224,-5.52308
2,4.49224,-5.80788
2,4.59224,-6.09479
